rule_id,rule_name,origin_race,added_date,status
R01,単一データ点で確立した軸を覆さない,宝塚記念2026ほか,2026-06,現行
R02,スクリーニングで名指しした妙味馬は最低でも3着の紐に残す,函館記念2026,2026-06-28,包含済(R11)
R03,◎の根拠が単一の不確実性（手術明け等）に依存する場合は頭固定の◎にしない,函館記念2026,2026-06-28,現行
R04,ペーススコア中立時に良馬場×単騎逃げがいればスロー前残りシナリオを必ず並列で持つ,函館記念2026,2026-06-28,現行
R05,高速馬場×時計実績は統計の枠・間隔不利に優先する,ラジオNIKKEI賞2026,2026-06-28,包含済(R11)
R06,軸をレース途中で何度も動かさない（覆すには複数の独立根拠が必要）,ラジオNIKKEI賞2026,2026-06-28,包含済(R11)
R07,消す馬こそ過去の好走条件（同コース同距離勝ち等）を必ず確認する,さきたま杯2026,2026-06-24,包含済(R11)
R08,ペースシナリオは買い目構築前にロックする,宝塚記念2026,2026-06,現行
R09,R値1.5未満は頭固定回避のみ・複勝圏除外にはしない,評価ルールv3,2026-06,現行
R10,函館記念の58kg以上は頭・2着から除外（過去10年0-0-0-10）,函館記念2026,2026-06-28,現行
R11,一度上位評価・名指しした馬の格下げには独立した根拠が2つ必要。単独根拠の格下げは3着紐で保全（R02/R05/R06/R07の上位則）,3レース横断分析,2026-07-03,現行
R12,三連単は頭に◎と○を必ず両置きする（頭1点固定禁止）※n=10までの暫定検証ルール,3レース横断分析,2026-07-03,暫定(n=10判定)
R13,G1では1番人気を複勝圏（3着紐）から外さない ※G1限定・暫定。自前G1ログがn=10に達した時点で存廃判定,2026上半期G1バックテスト,2026-07-03,暫定(n=10判定)
R14,予想確定後の個別馬照会には確定済みの最終点・妙味スコアを引用して回答する。印の変更（昇格含む）には独立した新根拠が2つ必要で、質問されたこと自体は根拠に数えない。変更時はpredictions.csv修正行とrule_fires.csv記録を必須とする,北九州記念2026の照会昇格,2026-07-03,現行
R15,印は◎○▲△✕各1頭・☆のみ最大2頭。☆に3頭目を足すときは入替とし総数を増やさない,指示v2の内部矛盾解消,2026-07-03,現行
R16,買い目確定前に券種ごとの点数を計算式または列挙で明示して検算する。フォーメーションは重複除外を頭ごとの展開で数え「点数×単価=金額」「合計=予算内」を照合してから確定する,雛形ボードの点数誤り（12点→実際10点）,2026-07-04,現行
R17,ルール有効性の検証はorigin_race以後のレースのみを対象とし生成元レースを検証サンプルに数えない,循環検証の是正,2026-07-04,現行
R18,ルールゲートの各発火ルールには馬名・数値入りの具体的根拠1行を必須とする。根拠なしPASSはゲート未通過扱い,ゲート自己採点の形骸化防止,2026-07-04,現行
R19,直近レースでの逆効果・違反成功を理由に予想セッション中のルール適用を緩めない。ルールの改廃・降格はn=10レビューでのみ行い、判定まで台帳のstatusどおりに適用する,ルール改廃手続きの明文化,2026-07-05,現行
R20,確定した展開シナリオと印の脚質を矛盾させない。前残り本線と宣言したら差し・追込馬を▲以上に上げるには「なぜ前残りでも届くか」の独立根拠を必須とする（好位差しで位置を取れる等）。純差し・追込の地力評価だけでの昇格は禁止,北九州記念2026,2026-07-05,暫定(n=10判定)
R21,◎の頭固定をR03で弱める場合は代わりに当該馬を三連単の2着・3着グループに全通り含める。頭を外すことは連下・3着から外す理由にならない,北九州記念2026,2026-07-05,暫定(n=10判定)
R22,予想確定前に検算ゲートを通す：全頭で数値列完備＋base×合成係数＋加算層=最終点（許容±1.0）を機械照合し、不一致が残る状態で印・買い目を確定しない（validate.py実行と等価）,北九州記念2026の検算ズレ7件,2026-07-06,暫定(n=10判定)
R23,荒帯域では全券種が1頭（特に1番人気）の複勝圏に依存する構成を禁止する。頭固定を外すだけでは不十分：三連複は軸2頭化・BOX化・複数軸のいずれかで分散し、ワイドも同一馬絡みで固めない,七夕賞2026（◎1人気④7着で全50点が同時失効・プール捕捉3/3なのに回収0）,2026-07-12,暫定(n=10判定)
R24,妙味閾値到達馬（荒帯域は妙味4以上）を紐に採用する場合は全券種の紐リストで統一する。券種間で紐が不一致だと軸分散しても取り逃す,七夕賞2026（2着⑥マイネルモーント妙味4が三連単3着のみで三連複相手から欠落）,2026-07-12,暫定(n=10判定)
R25,ベース点確定前に全頭の近5走着順列をスキャンし、「1年内に重賞4着以内またはOP・リステッド勝ちがあるのに直近1〜2走の凡走を理由にベース70未満へ置く」馬は5走精査と根拠2走以上のbase_breakdown明記を必須とする。人気順位を条件にしない（中位人気の過小評価が荒れレースの取り逃がし源）,七夕賞2026（2着⑥マイネルモーント6人気：中山記念G2・4着持ちを前走エプソムC12着だけでベース66に置き印圏外へ）,2026-07-12,暫定(n=10判定)
R26,2歳戦（キャリア3戦以下が主体のレース）では最終点の点差を根拠とした消しを禁止し、消しは構造フィルタ（キャリア・馬体重・ローテ等の消し級データ）のみで行う。工程2の5走要件・R25の5走精査は全キャリア確認で充足とみなす。馬場実績ゲートは血統・馬格からの推定で代替し推定根拠をnotesに明記。時計・実績が評価不能の馬は減点でなく中立×1.0とし妙味トラックで別評価,函館2歳S2026設計時,2026-07-18,暫定(n=10判定)
R27,妙味スコアの前向き脚質トリガーは直近5走の通過順から機械集計した脚質にのみ加点する。脚質が未取得・集計不能な馬には加点せず妙味スコアに脚質未確定を明記する。ペーススコアの逃げ・先行頭数も同じ集計値のみを分子に使い仮定で埋めない,小倉記念2026,2026-07-19,暫定(n=10判定)
